technique,fd_real_aug,fd_real_control,fd_ratio_aug_over_control,mmd_real_aug,mmd_p_real_aug,mmd_real_control,mmd_p_real_control,wer_real,per_real,wer_aug,per_aug,wer_gap_aug_minus_real
breathy,0.590687360772841,0.05384598998499163,10.969941511660979,0.5330543518066406,0.004975124378109453,0.05724060535430908,0.004975124378109453,0.2074549898923739,0.1433801601876569,0.2088507456560828,0.1425539246332532,0.0013957557637089002
glissando,0.6476576739188346,0.03159140344193628,20.501073183063966,0.5206190943717957,0.004975124378109453,0.02839195728302002,0.004975124378109453,0.1796225033062651,0.1157224016528492,0.137637311938621,0.0859346363386338,-0.041985191367644115
mixed_falsetto,0.5476728624291278,0.12212461974475552,4.48454098423219,0.6794110536575317,0.004975124378109453,0.20945286750793457,0.004975124378109453,0.1150444708724046,0.07297120092981,0.1391374717409986,0.0839457383680214,0.024093000868594006
pharyngeal,0.6025695541332371,0.044808604137794306,13.4476305550655,0.43260830640792847,0.004975124378109453,0.03167635202407837,0.004975124378109453,0.2005478504550584,0.1402396524224293,0.2096153527422188,0.1379963464228107,0.009067502287160384
vibrato,0.4370927838836773,0.07287171850904572,5.998112749727729,0.4112839102745056,0.004975124378109453,0.07601553201675415,0.004975124378109453,0.2004148079642658,0.1113676988240922,0.2879292089079022,0.1560899800109673,0.08751440094363638
