utt_id,technique,variant,singer_id,cos_to_source,shift_norm,shift_alignment
EN-Alto-1__breathy__technique__god_is_a_girl__0001_v0,breathy,0,EN-Alto-1,0.7497771978378296,0.7074218392372131,0.2916138172149658
EN-Alto-1__breathy__technique__god_is_a_girl__0001_v1,breathy,1,EN-Alto-1,0.7279170751571655,0.7376761436462402,0.26797735691070557
EN-Alto-1__breathy__technique__god_is_a_girl__0001_v2,breathy,2,EN-Alto-1,0.7008640170097351,0.7734805941581726,0.26484912633895874
EN-Alto-1__breathy__technique__god_is_a_girl__0002_v0,breathy,0,EN-Alto-1,0.6370171308517456,0.85203617811203,0.2626956105232239
EN-Alto-1__breathy__technique__god_is_a_girl__0002_v1,breathy,1,EN-Alto-1,0.6082574725151062,0.885146975517273,0.2607365548610687
EN-Alto-1__breathy__technique__god_is_a_girl__0002_v2,breathy,2,EN-Alto-1,0.5812056064605713,0.9151989221572876,0.27406829595565796
EN-Alto-1__breathy__technique__god_is_a_girl__0003_v0,breathy,0,EN-Alto-1,0.7348721623420715,0.7281867265701294,0.17328913509845734
EN-Alto-1__breathy__technique__god_is_a_girl__0003_v1,breathy,1,EN-Alto-1,0.7080240845680237,0.764167308807373,0.1716468781232834
EN-Alto-1__breathy__technique__god_is_a_girl__0003_v2,breathy,2,EN-Alto-1,0.6776180267333984,0.8029718399047852,0.19783920049667358
EN-Alto-1__breathy__technique__god_is_a_girl__0004_v0,breathy,0,EN-Alto-1,0.7185116410255432,0.7503178119659424,0.20969250798225403
EN-Alto-1__breathy__technique__god_is_a_girl__0004_v1,breathy,1,EN-Alto-1,0.7074633836746216,0.7649008631706238,0.1912364959716797
EN-Alto-1__breathy__technique__god_is_a_girl__0004_v2,breathy,2,EN-Alto-1,0.6899454593658447,0.7874701023101807,0.18913638591766357
EN-Alto-1__breathy__technique__innocence__0000_v0,breathy,0,EN-Alto-1,0.6266984343528748,0.8640621304512024,0.07751259207725525
EN-Alto-1__breathy__technique__innocence__0000_v1,breathy,1,EN-Alto-1,0.6194537878036499,0.8724062442779541,0.0714937075972557
EN-Alto-1__breathy__technique__innocence__0000_v2,breathy,2,EN-Alto-1,0.6049919128417969,0.8888286352157593,0.08115840703248978
EN-Alto-1__breathy__technique__innocence__0001_v0,breathy,0,EN-Alto-1,0.6776561737060547,0.8029245734214783,0.173116534948349
EN-Alto-1__breathy__technique__innocence__0001_v1,breathy,1,EN-Alto-1,0.6587752103805542,0.8261052370071411,0.13793395459651947
EN-Alto-1__breathy__technique__innocence__0001_v2,breathy,2,EN-Alto-1,0.6281955242156982,0.8623276948928833,0.15124958753585815
EN-Alto-1__breathy__technique__innocence__0002_v0,breathy,0,EN-Alto-1,0.6757144927978516,0.8053392171859741,0.1375495344400406
EN-Alto-1__breathy__technique__innocence__0002_v1,breathy,1,EN-Alto-1,0.661831796169281,0.8223969340324402,0.12649354338645935
EN-Alto-1__breathy__technique__innocence__0002_v2,breathy,2,EN-Alto-1,0.636624276638031,0.8524973392486572,0.12615789473056793
EN-Alto-1__breathy__technique__innocence__0003_v0,breathy,0,EN-Alto-1,0.7042726278305054,0.7690609693527222,0.10338321328163147
EN-Alto-1__breathy__technique__innocence__0003_v1,breathy,1,EN-Alto-1,0.6772500872612,0.8034301400184631,0.09537602961063385
EN-Alto-1__breathy__technique__innocence__0003_v2,breathy,2,EN-Alto-1,0.6313359141349792,0.8586781620979309,0.08969772607088089
EN-Alto-1__breathy__technique__innocence__0004_v0,breathy,0,EN-Alto-1,0.7142347097396851,0.7559964656829834,0.013098674826323986
EN-Alto-1__breathy__technique__innocence__0004_v1,breathy,1,EN-Alto-1,0.6910605430603027,0.7860528826713562,-0.01990281045436859
