technique,direction_vs_resynth,magnitude_vs_resynth,fd_real_resynth,cos_real_resynth,direction_debiased,magnitude_debiased
breathy,0.1416388601064682,1.510678768157959,0.5555785071610844,0.7360518574714661,0.10672152042388916,1.6423654556274414
glissando,-0.03591013699769974,2.1716742515563965,0.5730643635708627,0.7231416702270508,0.06146452948451042,2.3336472511291504
mixed_falsetto,0.4577863812446594,0.778730034828186,0.6292964755623259,0.6960587501525879,0.3992551863193512,1.040766716003418
pharyngeal,0.062015239149332047,0.9319748878479004,0.54709166784644,0.7361752390861511,0.043944038450717926,1.0391360521316528
vibrato,0.6651831865310669,1.4664793014526367,0.5346114158369382,0.7464107275009155,0.6504589915275574,1.468418002128601
