technique,n_real,n_aug,n_control,cos_real_aug,cos_real_control,cos_aug_control,direction_score,magnitude_ratio,spread_real,spread_aug
breathy,225,675,225,0.6944705247879028,0.9776871204376221,0.7041816711425781,0.07755549252033234,3.6411092281341553,0.11593420717451308,0.12483143091201782
glissando,225,900,225,0.6614330410957336,0.9877991676330566,0.6834772825241089,-0.07919817417860031,5.093385696411133,0.12073944277233548,0.14857120070192548
mixed_falsetto,164,459,153,0.7144486308097839,0.9399997591972351,0.6603943705558777,0.39950135350227356,2.379091501235962,0.07335248843925755,0.08649522624504073
pharyngeal,349,1047,349,0.6909897327423096,0.9847260117530823,0.7184067368507385,-0.09257916361093521,4.293739318847656,0.1482248917691687,0.15732889798218108
vibrato,302,906,302,0.7876451015472412,0.9655813574790955,0.7422266006469727,0.42379793524742126,2.736665964126587,0.12643604266722472,0.1156706762629629
