n,wer,per,hallucination_rate,wer_no_halluc,technique
474,0.20745498989237393,0.14338016018765692,0.046413502109704644,0.12051952351609534,breathy
855,0.2005478504550584,0.14023965242242933,0.028070175438596492,0.13594263909469498,pharyngeal
675,0.2004148079642658,0.11136769882409224,0.01037037037037037,0.14206443562114823,vibrato
333,0.17962250330626514,0.11572240165284922,0.05105105105105105,0.12450684724954564,glissando
368,0.11504447087240466,0.07297120092981006,0.008152173913043478,0.10512898511440875,mixed_falsetto
