n,wer,per,hallucination_rate,wer_no_halluc,technique
855,0.36689371590340086,0.25923347655146617,0.04093567251461988,0.19881280321818257,pharyngeal
333,0.335583578313533,0.20240479489191288,0.05405405405405406,0.17974638348947844,glissando
474,0.333086873282657,0.24106840727253398,0.04852320675105485,0.16926111219222517,breathy
675,0.23102528496379068,0.14507132003907103,0.017777777777777778,0.20784194601463288,vibrato
368,0.18312995993955908,0.11133657880244593,0.008152173913043478,0.1737740809410193,mixed_falsetto
